iter	RMSE
707	0.424166873
708	0.4235419304
709	0.42250263
710	0.4212006876
711	0.4210568895
712	0.4208566963
713	0.4207391955
714	0.4198101514
715	0.4193056822
716	0.4180299533
717	0.4167205544
718	0.4154820658
719	0.4150566204
720	0.4141374936
721	0.4138936388
722	0.4132107826
723	0.4124558936
724	0.4109678316
725	0.4097962994
726	0.4097608264
727	0.4085270299
728	0.4068389239
729	0.4066141121
730	0.4057829151
731	0.404530056
732	0.4035030242
733	0.4025591532
734	0.4015490356
735	0.400920937
736	0.3995692847
737	0.3990796073
738	0.3975294045
739	0.3963778817
740	0.3963423829
741	0.3952147781
742	0.3946203866
743	0.3930732943
744	0.3918070661
745	0.3916322663
746	0.3910655799
747	0.390781853
748	0.3907338842
749	0.3906929342
750	0.3902847867
751	0.3894159789
752	0.3887227751
753	0.3886841957
754	0.3877131576
755	0.3870733869
756	0.3862504669
757	0.3860469695
758	0.3849136927
759	0.3832767703
760	0.3821138764
761	0.3809615375
762	0.380506171
763	0.3795654483
764	0.3786720937
765	0.3779385061
766	0.3779001535
767	0.3773446254
768	0.3769188508
769	0.3758264233
770	0.3757544877
771	0.3746062885
772	0.3742645244
773	0.3734071502
774	0.3726102049
775	0.3712152251
776	0.3709535253
777	0.3709236631
778	0.3694792111
779	0.3692028868
780	0.3689314274
781	0.3685964069
782	0.3682807772
783	0.3670966271
784	0.3666220045
785	0.3658808285
786	0.3658408509
787	0.3650498181
788	0.3644746273
789	0.3636520856
790	0.362694565
791	0.3620030605
792	0.3604091363
793	0.3597876982
794	0.3583996408
795	0.3581768245
796	0.3572477698
797	0.3565886744
798	0.3560896417
799	0.3559382126
800	0.3552257824
801	0.3544158821
802	0.3537842202
803	0.3534756059
804	0.3533121083
805	0.3530009756
806	0.3518686072
807	0.3511440953
808	0.3507841565
809	0.3497386131
810	0.3490971206
811	0.3483945205
812	0.3469887255
813	0.3455029832
814	0.3446853636
815	0.3438334652
816	0.34268564
817	0.3411738984
818	0.3397779268
819	0.338639224
820	0.3381930921
821	0.3373055259
822	0.336869598
823	0.3364555974
824	0.3354718361
825	0.3348451953
826	0.3341225272
827	0.333185344
828	0.3322881899
829	0.3321611078
830	0.331957919
831	0.3310016189
832	0.3309726762
833	0.3302921929
834	0.3292054463
835	0.3285430751
836	0.3280965081
837	0.3276582613
838	0.3272613202
839	0.3268223707
840	0.3266726305
841	0.3256839061
842	0.3250965041
843	0.3246054491
844	0.3237785238
845	0.3230974887
846	0.3224927625
847	0.3221754545
848	0.3212548381
849	0.3204806205
850	0.3194239438
851	0.3186829974
852	0.3180865604
853	0.3171909796
854	0.3170599656
855	0.3168454776
856	0.3167766295
857	0.3166514525
858	0.3156848606
859	0.3148179525
860	0.31431287
861	0.3136068152
862	0.3135855527
863	0.3135618307
864	0.3127644634
865	0.3117607744
866	0.310687581
867	0.3099981327
868	0.3093093817
869	0.3087535015
870	0.3082662868
871	0.3074002958
872	0.3069443926
873	0.3059935913
874	0.3056796255
875	0.3043664748
876	0.303669796
877	0.3026301954
878	0.3026031781
879	0.3018310573
880	0.3012401018
881	0.3010501382
882	0.300799485
883	0.2998464426
884	0.2998138305
885	0.2991978815
886	0.2988754077
887	0.2988545811
888	0.2983350407
889	0.2974392251
890	0.2965998105
891	0.295731416
892	0.2954682594
893	0.2954271546
894	0.2952944923
895	0.2947368472
896	0.2944137336
897	0.2941938523
898	0.2932871559
899	0.2929416721
900	0.2920693678
901	0.2916838305
902	0.291025471
903	0.2905727733
904	0.2904230624
905	0.2894829617
906	0.2888147596
907	0.2876198906
908	0.2873092287
909	0.286705758
910	0.2863035271
911	0.2855626543
912	0.2851202338
913	0.2844501546
914	0.2839258949
915	0.2833485301
916	0.2828764832
917	0.2817719553
918	0.2817535254
919	0.2817319546
920	0.2811276946
921	0.2808991992
922	0.2799207741
923	0.2793154749
924	0.2792935585
925	0.2786571475
926	0.2782108824
927	0.2775550962
928	0.2775367369
929	0.277191384
930	0.2769851592
931	0.2769671945
932	0.2762285459
933	0.2756394305
934	0.2756122549
935	0.2748735003
936	0.274637892
937	0.2741455972
938	0.2741088371
939	0.2729930958
940	0.2722768537
941	0.2717791336
942	0.2707449304
943	0.2699849854
944	0.2698286292
945	0.2693977506
946	0.2685792962
947	0.2678567849
948	0.2667357858
949	0.2659283892
950	0.2653589008
951	0.2653467922
952	0.2648186934
953	0.2644002102
954	0.2642083604
955	0.2637570486
956	0.2635337224
957	0.2627352674
958	0.2620937323
959	0.261843655
960	0.2614369668
961	0.2608516022
962	0.2606834124
963	0.259944189
964	0.2594872656
965	0.2589505436
966	0.2584011867
967	0.2578418626
968	0.2570881976
969	0.2564519892
970	0.2559814462
971	0.2550589968
972	0.2543261291
973	0.2539295181
974	0.2535485225
975	0.2529537355
976	0.252553114
977	0.2521836476
978	0.2521673191
979	0.2518442491
980	0.2514417341
981	0.2504364554
982	0.2500887891
983	0.249455164
984	0.2490019266
985	0.2484023272
986	0.2482288353
987	0.2479881595
988	0.2474172888
989	0.2473032338
990	0.2464575394
991	0.2458422126
992	0.2450340298
993	0.2446010529
994	0.2440456421
995	0.2436621502
996	0.2429573569
997	0.2425325944
998	0.2422800541
999	0.2417693044
